Date,High,Low,Open,Close,Volume,Adj Close,RSI-1,RSI-2,RSI-3,RSI-4,RSI-5,RSI-6,RSI-7,RSI-8,RSI-9,RSI-10,RSI-11,RSI-12,RSI-13,RSI-14,RSI-15,RSI-16,RSI-17,RSI-18,RSI-19,RSI-20,SMA-50,SMA-200
1996-12-31,26.75,26.25,26.5625,26.3125,4135400.0,14.369519233703613,,,,,,,,,,,,,,,,,,,,,,
1997-01-02,26.25,25.5625,26.25,25.9375,7161800.0,14.164731979370117,0.0,,,,,,,,,,,,,,,,,,,,,
1997-01-03,26.6875,26.125,26.125,26.5625,5312000.0,14.506053924560547,100.0,76.92307692307693,,,,,,,,,,,,,,,,,,,,
1997-01-06,26.8125,26.125,26.5625,26.3125,6259600.0,14.369519233703613,0.0,47.61904761904762,50.0,,,,,,,,,,,,,,,,,,,
1997-01-07,27.1875,25.9375,26.3125,27.1875,7325400.0,14.847362518310547,100.0,85.71428571428572,80.58252427184466,78.01242236024845,,,,,,,,,,,,,,,,,,
1997-01-08,27.25,26.5625,27.1875,26.6875,5712000.0,14.574316024780273,0.0,46.80851063829787,52.86624203821657,54.78336725792382,55.62827225130891,,,,,,,,,,,,,,,,,
1997-01-09,27.1875,26.8125,26.8125,26.9375,5715000.0,14.710841178894043,100.0,63.41463414634146,62.531645569620245,62.27254346947028,62.08937141792087,61.94489548699708,,,,,,,,,,,,,,,,
1997-01-10,27.0625,26.3125,26.9375,27.0625,6061600.0,14.779106140136719,100.0,72.11895910780669,67.52605595172793,66.02413148503314,65.25174440642134,64.76924031362893,64.4352399454618,,,,,,,,,,,,,,,
1997-01-13,27.25,26.8125,27.0625,27.0,4327400.0,14.74496841430664,0.0,58.25825825825826,61.38885425757387,61.91932607293287,62.01839494262759,62.00800262429058,61.96680347487993,61.91866472695,,,,,,,,,,,,,,
1997-01-14,27.875,27.25,27.25,27.75,7006000.0,15.154560089111328,100.0,92.56286784376672,85.35212599914865,80.90946099673943,78.21254762590848,76.45950651933879,75.24401254448885,74.35680159572377,73.68269860209472,,,,,,,,,,,,,
1997-01-15,28.75,27.5,27.75,28.5,9699000.0,15.564141273498535,100.0,97.18680429062942,92.41414784696026,88.53358358743418,85.78733502355698,83.83717848023879,82.40859966708761,81.32704753550772,80.48394609769656,79.81021210906479,,,,,,,,,,,,
1997-01-16,28.9375,28.3125,28.5,28.8125,6928200.0,15.734796524047852,100.0,98.14691374483402,94.170668410886,90.61568450423094,87.96634969894927,86.02680263726543,84.57820783893224,83.46701812392865,82.59267410248597,81.88910505133333,81.31193445136543,,,,,,,,,,,
1997-01-17,29.5625,28.75,28.8125,29.375,11371200.0,16.041982650756836,100.0,99.1685110964886,96.41314033356811,93.46404229198768,91.05277364110859,89.19003129420018,87.75076326824329,86.62113943316575,85.71768886974434,84.98186591811664,84.37262517751266,83.86079526559153,,,,,,,,,,
1997-01-20,29.9375,29.375,29.375,29.375,7465600.0,16.041982650756836,,99.1685110964886,96.41314033356811,93.46404229198768,91.05277364110857,89.19003129420018,87.75076326824329,86.62113943316575,85.71768886974434,84.98186591811664,84.37262517751266,83.86079526559153,83.42526824250857,,,,,,,,,
1997-01-21,30.125,29.125,29.375,29.8125,10445800.0,16.280912399291992,100.0,99.69375839961224,97.85629191323632,95.39619630656114,93.17889661823784,91.37647235947901,89.94136129300121,88.79310078745115,87.86258720364069,87.09754291852306,86.4596428205977,85.92083575792778,85.46039887142251,85.06281915196489,,,,,,,,
