Date,High,Low,Open,Close,Volume,Adj Close,RSI-1,RSI-2,RSI-3,RSI-4,RSI-5,RSI-6,RSI-7,RSI-8,RSI-9,RSI-10,RSI-11,RSI-12,RSI-13,RSI-14,RSI-15,RSI-16,RSI-17,RSI-18,RSI-19,RSI-20,SMA-50,SMA-200
1996-12-31,16.75,16.34375,16.671875,16.3671875,51322400.0,10.175021171569824,,,,,,,,,,,,,,,,,,,,,,
1997-01-02,16.5,15.953125,16.46875,16.296875,97639200.0,10.131309509277344,0.0,,,,,,,,0.0,,,,,,,,,,,,,
1997-01-03,17.3125,16.578125,16.625,17.296875,95648000.0,10.752982139587402,100.0,96.60377358490567,,,,,,,100.0,,,,,,,,,,,,,
1997-01-06,17.71875,17.21875,17.390625,17.359375,120549600.0,10.791834831237793,100.0,96.96969696969697,95.89041095890411,,,,,,100.0,,,,,,,,,,,,,
1997-01-07,17.9375,17.125,17.3203125,17.921875,96153600.0,11.141524314880371,100.0,98.96907216494846,98.05194805194805,97.5312404754648,,,,,100.0,,,,,,,,,,,,,
1997-01-08,18.203125,17.720703125,18.0,17.78125,125510400.0,11.054101943969727,0.0,74.4186046511628,81.89830508474577,84.36593725283417,85.53684614892119,,,,0.0,,,,,,,,,,,,,
1997-01-09,18.0,17.71875,17.921875,17.875,77420000.0,11.112386703491211,100.0,80.77669902912622,84.45867287543656,86.04085475897784,86.85213747344528,87.3332825842151,,,100.0,,,,,,,,,,,,,
1997-01-10,18.09375,17.6875,17.765625,18.0625,111907200.0,11.228951454162598,100.0,90.36027263875366,89.08868001634654,89.14265564499176,89.28761958957215,89.40867226825833,89.50134480423502,,100.0,,,,,,,,,,,,,
1997-01-13,18.470703125,18.0,18.21875,18.359375,116600000.0,11.413500785827637,100.0,96.26179987413468,93.60995602357376,92.60953074553991,92.16138586859773,91.92307669131996,91.77964292294507,91.68533988191926,100.0,,,,,,,,,,,,,
1997-01-14,18.71875,18.3125,18.484375,18.390625,113872800.0,11.432934761047363,100.0,96.688594046159,94.00235862301342,92.92653278745793,92.42864079309625,92.15823282426616,91.99303007183727,91.88319881146307,100.0,,,,,,,,,,,,,
1997-01-15,18.484375,17.6875,18.4375,17.75,227419200.0,11.034675598144531,0.0,17.019606303848633,32.5458067307155,42.77561395010017,49.33011409639868,53.69843038480847,56.75646496038407,58.99344025885566,0.0,62.01785965469988,,,,,,,,,,,,
1997-01-16,18.25,17.7578125,17.96875,17.796875,133381600.0,11.063814163208008,100.0,25.9488239312048,37.06198559349996,45.63789052576818,51.40271313527628,55.33508873364695,58.12567675439723,60.18522598345846,100.0,62.99280537673032,63.98617192781899,,,,,,,,,,,
1997-01-17,18.171875,17.75,17.75,18.0078125,97962400.0,11.194947242736816,100.0,62.38110914380789,56.65200818011879,58.18655828966695,60.49273381689164,62.49413629066101,64.0942761674655,65.36244494776665,100.0,67.20216632185767,67.88219736557984,68.45098900130543,,,,,,,,,,
1997-01-20,18.2421875,17.998046875,18.046875,18.15625,58668800.0,11.28722858428955,100.0,77.77222856001303,67.37198132304707,65.63050203129905,66.0745807256141,66.96538750859334,67.85580047185557,68.6417777684684,100.0,69.8808421296783,70.36393336968828,70.77721657835755,71.13351882193074,,,,,,,,,
1997-01-21,18.546875,18.109375,18.140625,18.5078125,64573600.0,11.505785942077637,100.0,92.43437945664097,82.63143199926483,77.99918730864542,76.07993098672458,75.32559056809046,75.07180403007843,75.0385271246152,100.0,75.20908442875981,75.33017097262119,75.45352419703508,75.5730957841824,75.6861809243976,,,,,,,,
1997-01-22,19.03125,18.34375,18.5625,19.015625,88490400.0,11.821475982666016,100.0,97.39619673891823,91.3731075473716,87.00553040338497,84.39145107615924,82.84905355923885,81.9138716788512,81.32667066810588,100.0,80.69126461176931,80.51751272101649,80.39664570232,80.31142274885201,80.25078829143027,80.20745797526124,,,,,,,
1997-01-23,19.484375,18.953125,19.15625,18.96875,99123200.0,11.792340278625488,0.0,86.87729513712458,85.42031187772463,82.83217419140934,81.13838923641657,80.14228042149631,79.56214061215401,79.22132135996651,0.0,78.90171973979388,78.83435498064314,78.79871577058174,78.78318773587884,78.78053636679522,78.78615573777014,78.7970585624222,,,,,,
1997-01-24,19.328125,18.796875,19.0,18.8125,114352000.0,11.695204734802246,0.0,50.509829471327585,64.43212073517815,68.2766380700524,69.90990051485869,70.87943258456141,71.57126399582711,72.10989490238539,0.0,72.91270327839695,73.22197175317253,73.48742430905895,73.71765431650763,73.91912160319796,74.0968007238116,74.25459184936473,74.39559713679091,,,,,
1997-01-27,19.03125,18.65625,18.861328125,18.765625,69532000.0,11.666057586669922,0.0,40.37025947415967,58.017308495758414,63.79269503273905,66.46090640280227,68.04803458594532,69.140793413039,69.95682594410704,0.0,71.11342079065551,71.5412256402002,71.90133454757859,72.20873937263745,72.47423644885124,72.70583336887054,72.90960976416324,73.09027097351546,73.25151824738396,,,,
