Date,High,Low,Open,Close,Volume,Adj Close,RSI-1,RSI-2,RSI-3,RSI-4,RSI-5,RSI-6,RSI-7,RSI-8,RSI-9,RSI-10,RSI-11,RSI-12,RSI-13,RSI-14,RSI-15,RSI-16,RSI-17,RSI-18,RSI-19,RSI-20,SMA-50,SMA-200
1996-12-31,25.65625,24.875,25.5625,24.875,2550800.0,14.007467269897461,,,,,,,,,,,,,,,,,,,,,,
1997-01-02,25.0,24.3125,24.9375,24.875,4192000.0,14.007467269897461,,,,,,,,,,,,,,,,,,,,,,
1997-01-03,25.3125,24.875,25.0625,25.125,2994200.0,14.14824104309082,100.0,100.0,,,,,,,,,,,,,,,,,,,,
1997-01-06,25.6875,25.25,25.375,25.3125,4661600.0,14.253827095031738,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,
1997-01-07,25.375,25.0,25.3125,25.375,3805200.0,14.289018630981445,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,
1997-01-08,25.875,25.4375,25.625,25.5625,4096200.0,14.394606590270996,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,
1997-01-09,25.9375,25.5625,25.6875,25.75,3908800.0,14.500189781188965,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,
1997-01-10,25.75,25.3125,25.375,25.5625,5677600.0,14.394606590270996,0.0,47.252747252747255,61.28518321826873,67.59493670886076,71.07463515473142,73.25322754477287,74.73733259180207,,,,,,,,,,,,,,,
1997-01-13,25.5,25.0625,25.5,25.125,5255600.0,14.14824104309082,0.0,13.65079365079366,26.02322697034616,33.66017649530747,38.55091017868873,41.88508447819668,44.283385244908004,46.0836579251255,,,,,,,,,,,,,,
1997-01-14,25.8125,25.3125,25.3125,25.625,4860000.0,14.429795265197754,100.0,67.11003627569528,62.75756371686439,62.413692759450804,62.841760927368455,63.386794226501095,63.897889224607724,64.34470427180756,64.72817021010141,,,,,,,,,,,,,
1997-01-15,26.25,25.6875,25.75,26.0625,6654200.0,14.676165580749512,100.0,84.21358096343587,77.45263971820096,75.03675027965352,74.05802766606477,73.6308309672203,73.44211876244213,73.3655766258247,73.34478265567401,73.35252552027818,,,,,,,,,,,,
1997-01-16,26.5625,25.8125,26.375,25.8125,5667600.0,14.535382270812988,0.0,52.821259555879145,57.877774282394185,59.748365103767526,60.92261540434247,61.778267416033415,62.43776871797889,62.96252961344916,63.38976201429277,63.744012532829515,64.04226111681228,,,,,,,,,,,
1997-01-17,26.0625,25.5,25.8125,25.6875,9774000.0,14.465003967285156,0.0,38.47785733227261,48.65518348710504,52.60325453005201,54.84304183472936,56.337028704724624,57.4190591361595,58.243249313869725,58.89339208391662,59.41986719915216,59.85508762036368,60.22095985360954,,,,,,,,,,
1997-01-20,25.875,25.4375,25.75,25.5,5235000.0,14.359416007995605,0.0,21.204150226508844,35.81462215545818,42.450276490214335,46.198806074683496,48.627673560949596,50.33827909790142,51.61156507393688,52.59757092375531,53.384236363867586,54.02672110483739,54.56145960622392,55.013520901315786,,,,,,,,,
