Date,High,Low,Open,Close,Volume,Adj Close,RSI-1,RSI-2,RSI-3,RSI-4,RSI-5,RSI-6,RSI-7,RSI-8,RSI-9,RSI-10,RSI-11,RSI-12,RSI-13,RSI-14,RSI-15,RSI-16,RSI-17,RSI-18,RSI-19,RSI-20,SMA-50,SMA-200
1996-12-31,53.75,52.75,53.3125,53.25,1537000.0,33.12907409667969,,,,,,,,,,,,,,,,,,,,,,
1997-01-02,52.9375,51.625,52.9375,51.9375,2786800.0,32.31251907348633,0.0,,,,,,,,,,,,,,,,,,,,,
1997-01-03,53.4375,51.9375,51.9375,53.1875,3941800.0,33.090187072753906,100.0,65.57377049180329,,,,,,,,,,,,,,,,,,,,
1997-01-06,53.75,52.875,53.1875,53.125,3088400.0,33.051334381103516,0.0,61.53846153846153,56.33802816901408,,,,,,,,,,,,,,,,,,,
1997-01-07,53.125,52.6875,53.125,53.0625,2066800.0,33.01242446899414,0.0,54.794520547945204,52.98013245033113,51.46533238027162,,,,,,,,,,,,,,,,,,
1997-01-08,53.25,52.5,53.0625,52.5625,2538200.0,32.701358795166016,0.0,19.90049751243781,30.888030888030897,34.58767013610888,36.20728671645169,,,,,,,,,,,,,,,,,
1997-01-09,52.9375,51.5,52.5625,52.5,4451200.0,32.66246795654297,0.0,17.167381974248926,28.648164726947186,32.79518194240599,34.67472131547224,35.690322212228935,,,,,,,,,,,,,,,,
1997-01-10,52.625,51.8125,52.5,52.5625,2971000.0,32.701358795166016,100.0,35.01683501683502,35.64796124343965,37.1388446183706,37.957361685979016,38.424547619242894,38.71290220402074,,,,,,,,,,,,,,,
1997-01-13,53.375,52.6875,52.6875,53.375,2069800.0,33.20684051513672,100.0,90.1580826109128,77.90866883791836,70.35283085800188,65.84634164369217,62.9790160457411,61.02919731837117,59.62929485206867,,,,,,,,,,,,,,
1997-01-14,54.0,53.125,53.375,53.1875,2590400.0,33.090187072753906,0.0,64.78563576401612,63.47853089800412,60.514630414789806,58.28826307754075,56.71594618951541,55.580414325112585,54.7324708120766,54.07920182773835,,,,,,,,,,,,,
1997-01-15,53.375,52.8125,53.1875,52.875,2231400.0,32.8957633972168,0.0,33.42786916241255,43.38790749727451,46.16767926015951,47.03957439654834,47.30689512856636,47.3587841548198,47.329184535775646,47.269278880081515,47.200019294543274,,,,,,,,,,,,
1997-01-16,53.3125,52.625,52.875,52.875,2180800.0,32.8957633972168,,33.42786916241255,43.38790749727452,46.16767926015951,47.03957439654834,47.30689512856636,47.3587841548198,47.32918453577564,47.269278880081515,47.200019294543274,47.13026734448257,,,,,,,,,,,
1997-01-17,53.3125,52.75,52.875,53.0625,1995800.0,33.01242446899414,100.0,69.20318376629056,60.33534375100337,57.03340814428998,55.153335356702435,53.91283185392205,53.0326264659507,52.37729335881711,51.87152965030936,51.47001008148783,51.143875967090445,50.873926894621604,,,,,,,,,,
1997-01-20,53.25,52.5,53.0625,53.25,1509400.0,33.12907409667969,100.0,85.15661228447367,72.626961945674,66.14471994424966,62.36133792346119,59.93951150072727,58.27893175852988,57.07865769652782,56.174658945825826,55.471221052473,54.90924942099528,54.4505018343301,54.06923424777163,,,,,,,,,
1997-01-21,57.25,54.25,54.25,56.9375,6969400.0,35.423221588134766,100.0,99.30558979506911,97.30094418829087,94.83958437821497,92.39802444806665,90.19591245760652,88.290199228858,86.66572554067727,85.28451811553046,84.10620877651311,83.09495278807488,82.22095647949834,81.46010355392971,80.79305277043662,,,,,,,,
1997-01-22,57.125,55.875,56.9375,56.125,3202400.0,34.91773223876953,0.0,69.93046229311942,74.96685927724668,75.93211726595526,75.74877022047542,75.182184188711,74.51197835675258,73.8470018176671,73.22766788518487,72.66594650141991,72.1620759288292,71.71175652619361,71.30927285177995,70.94882412819436,70.62505383332804,,,,,,,
1997-01-23,56.1875,55.25,56.125,55.25,4379400.0,34.37337875366211,0.0,42.71555735400533,54.68883213583368,59.033061526993905,60.961652603764996,61.87256209395811,62.297316278470205,62.47403887309853,62.51947480985298,62.494315159800934,62.43145341269895,62.349259838045576,62.25820152645907,62.16430269123228,62.07102451025546,61.98031987739217,,,,,,
